model_name,timestamp,accuracy,cohen_kappa,f1_weighted,f1_macro,training_time_min,eval_level,test_count,split_method
L-TAE Temporal Attention,2026-02-17T19:19:47.416755,0.8325301204819278,0.7635739535836876,0.8300321790527746,0.7755469456484294,37.8,test,1531914,fid-wise
CNN-BiLSTM Ensemble Field-Level (Inference),2026-02-17T18:41:57.095353,0.8301204819277108,0.7601863919148204,0.8276927773471786,0.7723817558582634,,test,830,fid-wise (field-level aggregation)
TempCNN Temporal Conv,2026-02-17T19:49:14.009091,0.827710843373494,0.7574810228747152,0.8267412999728184,0.7749194490387156,29.4,test,1531914,fid-wise
TabTransformer Ensemble (Field-Level),2026-02-18T03:14:25.540138,0.8,0.7182833646510848,0.7990844460174077,0.7329005223484552,445.1,test,1531914,fid-wise
Voting Ensemble,2026-02-18T16:45:21.863523,0.7807228915662651,0.6817498072296264,0.7692107974598409,0.6853908785036593,1.8,test,830,fid-wise
CNN-BiLSTM Ensemble (5-seed),2026-02-17T18:40:34.743453,0.7690712402915568,0.694349993654622,0.7663636129699858,0.7226820864153078,51.8,test,1531914,fid-wise
TempCNN Field-Level (temporal),2026-02-18T09:45:01.307982,0.7506024096385542,0.6497854602158648,0.7522159143491212,0.6749455410787389,1.1,test,830,fid-wise (field-level training)
SMOTE Stacked Ensemble,2026-02-18T16:43:20.966699,0.7578313253012048,0.6608153605933444,0.7492069518312932,0.6944753038426906,1.7,test,830,fid-wise
XGBoost Field-Level,2026-02-18T13:16:56.558925,0.7530120481927711,0.6580318795082412,0.7490513787378377,0.6956891171013388,106.8,test,830,fid-wise
3D CNN Patch-Level,2026-02-10T20:26:21.707167,0.7548085901027077,0.6788591029349131,0.7484158306240506,0.6994056529822654,,test,5355,field-based (patch-level)
L-TAE Field-Level (temporal),2026-02-18T09:43:54.948668,0.7457831325301205,0.6419143972372223,0.745725007323671,0.6657451097608144,1.0,test,830,fid-wise (field-level training)
LightGBM Field-Level,2026-02-18T16:41:19.141989,0.7506024096385542,0.6495833180366386,0.7394696849086874,0.679438682772855,203.9,test,830,fid-wise
Stacking Ensemble,2026-02-18T16:45:22.349954,0.727710843373494,0.6183954625719145,0.731943658559793,0.6427586792320146,1.8,test,830,fid-wise
Random Forest (Pixel-Level),2026-02-18T18:07:30.883695,0.6978637703123685,0.5977719557725699,0.6863532650511643,0.6453111997274846,73.4,test,1484625,fid-wise
XGBoost (Pixel-Level),2026-02-18T18:08:34.334247,0.6724647638292498,0.5705782606222292,0.6710381866954657,0.6369401670421632,0.5,test,1484625,fid-wise
LightGBM (Pixel-Level),2026-02-18T18:08:02.615096,0.6772531784120569,0.5706326086223308,0.6665473842477344,0.6247739686270255,0.5,test,1484625,fid-wise
Logistic Regression (Pixel-Level),2026-02-18T16:54:04.048989,0.642581796750021,0.5352671839631213,0.6458897902368911,0.6094622545535615,8.0,test,1484625,fid-wise
TabNet Field-Level (xr_fresh),2026-02-18T03:15:02.189668,0.5650602409638554,0.4218583579025361,0.581217566917001,0.5147737686654602,0.6,test,830,fid-wise (field-level)
