model,loss,sampler,f1_macro,kappa,xent
TabNet (field),focal,off,0.433132976374644,0.3408691098597513,6.72755302561739
TabNet (field),weighted_ce,off,0.4190694676800118,0.3327354829605587,6.534002395812921
TabNet (field),plain_ce,off,0.3496723091156847,0.2474558060839747,6.213642732688284
TabNet (field),focal,on,0.3952377253740878,0.2287116362835627,9.26373369202077
TabNet (field),plain_ce,on,0.4631064435911055,0.3692187988532828,6.333777606360024
L-TAE-S (field),focal,off,0.6011585021953586,0.515512657739494,4.7720242486274165
L-TAE-S (field),weighted_ce,off,0.5977800139443123,0.5035899839110523,4.865462483705435
L-TAE-S (field),plain_ce,off,0.5880915100608821,0.4979969406131141,4.778698408275846
L-TAE-S (field),focal,on,0.6002495258109314,0.4942926765291626,5.072361432806764
L-TAE-S (field),plain_ce,on,0.6007688282387199,0.5000725512957269,4.932204080189735
CNN-BiLSTM (field),focal,off,0.5087636950040539,0.3356898948577367,7.6953061746397315
CNN-BiLSTM (field),weighted_ce,off,0.4873991076795962,0.3413038078840789,7.541800502725844
CNN-BiLSTM (field),plain_ce,off,0.4093754470926266,0.304147101196742,8.029014157061228
CNN-BiLSTM (field),focal,on,0.558196268320438,0.3890899749848625,6.901081176476567
CNN-BiLSTM (field),plain_ce,on,0.5027282894338669,0.3447859260700417,7.455036427296254
