model,loss,sampler,f1_macro,kappa,xent
TabNet (field),focal,off,0.433132976374644,0.3408691098597513,6.72755302561739
TabNet (field),weighted_ce,off,0.41906946768001185,0.33273548296055877,6.534002395812921
TabNet (field),plain_ce,off,0.34967230911568475,0.24745580608397477,6.213642732688284
TabNet (field),focal,on,0.433132976374644,0.3408691098597513,6.72755302561739
TabNet (field),plain_ce,on,0.34967230911568475,0.24745580608397477,6.213642732688284
L-TAE-S (field),focal,off,0.6011585021953586,0.515512657739494,4.7720242486274165
L-TAE-S (field),weighted_ce,off,0.5977800139443123,0.5035899839110523,4.865462483705435
L-TAE-S (field),plain_ce,off,0.5880915100608821,0.49799694061311417,4.778698408275846
L-TAE-S (field),focal,on,0.6002495258109314,0.49429267652916264,5.072361432806764
L-TAE-S (field),plain_ce,on,0.6007688282387199,0.5000725512957269,4.932204080189735
CNN-BiLSTM (field),focal,off,0.5087636950040539,0.3356898948577367,7.6953061746397315
CNN-BiLSTM (field),weighted_ce,off,0.48739910767959627,0.3413038078840789,7.541800502725844
CNN-BiLSTM (field),plain_ce,off,0.4093754470926266,0.30414710119674204,8.029014157061228
CNN-BiLSTM (field),focal,on,0.558196268320438,0.38908997498486253,6.901081176476567
CNN-BiLSTM (field),plain_ce,on,0.5027282894338669,0.34478592607004177,7.455036427296254
