Model,Training Level,Feature Type,Fraction,Train Fields,Train F1 (macro),OOS F1 (macro),OOS Accuracy,OOS Cohen Kappa,Delta vs 1.0
TabNet (pixel),pixel,raw pixel (band x month),1.0,,,0.6030216570423871,0.725879917184265,0.5362509111931504,0.0
TabNet (pixel),pixel,raw pixel (band x month),0.25,663,0.708,0.586,0.7118,0.525,-0.017
TabNet (pixel),pixel,raw pixel (band x month),0.5,1326,0.7236,0.6202,0.7275,0.5515,0.0172
TabNet (pixel),pixel,raw pixel (band x month),0.75,1989,0.7367,0.6196,0.7222,0.5442,0.0165
L-TAE Field (field),field,raw temporal (field-averaged),1.0,,,0.5938929204673029,0.6579710144927536,0.4706658291957333,0.0
L-TAE Field (field),field,raw temporal (field-averaged),0.25,663,0.5966,0.5579,0.6642,0.4598,-0.036
L-TAE Field (field),field,raw temporal (field-averaged),0.5,1326,0.6445,0.5834,0.6799,0.4938,-0.0105
L-TAE Field (field),field,raw temporal (field-averaged),0.75,1989,0.6778,0.5884,0.6832,0.4911,-0.0055
L-TAE (pixel),pixel,raw pixel (temporal sequence),1.0,,,0.5794242870418496,0.6774327122153209,0.4875269443444866,0.0
L-TAE (pixel),pixel,raw pixel (temporal sequence),0.25,663,0.7002,0.5704,0.6957,0.508,-0.009
L-TAE (pixel),pixel,raw pixel (temporal sequence),0.5,1326,0.7294,0.5264,0.6228,0.4242,-0.053
L-TAE (pixel),pixel,raw pixel (temporal sequence),0.75,1989,0.7636,0.5723,0.6414,0.4462,-0.0071
XGBoost (field),field,xr_fresh time-series,1.0,,,0.564787223127966,0.6968944099378882,0.4742627312357137,0.0
XGBoost (field),field,xr_fresh time-series,0.25,663,0.6316,0.5329,0.6857,0.4736,-0.0318
XGBoost (field),field,xr_fresh time-series,0.5,1326,0.6581,0.5374,0.6845,0.4682,-0.0274
XGBoost (field),field,xr_fresh time-series,0.75,1989,0.6733,0.5746,0.6969,0.4841,0.0099
Base LightGBM (pixel),pixel,raw pixel (band x month),1.0,,,0.5632958573213636,0.6993788819875777,0.4693543022255285,0.0
Base LightGBM (pixel),pixel,raw pixel (band x month),0.25,704,0.6181,0.5502,0.6961,0.4724,-0.0131
Base LightGBM (pixel),pixel,raw pixel (band x month),0.5,1409,0.6379,0.5456,0.6903,0.4552,-0.0177
Base LightGBM (pixel),pixel,raw pixel (band x month),0.75,2114,0.6378,0.5529,0.6952,0.4649,-0.0104
Base LR (pixel),pixel,raw pixel (band x month),1.0,,,0.5629564243693472,0.6939958592132505,0.4706198519075732,0.0
Base LR (pixel),pixel,raw pixel (band x month),0.25,704,0.6115,0.5805,0.6749,0.4829,0.0176
Base LR (pixel),pixel,raw pixel (band x month),0.5,1409,0.6251,0.5973,0.6998,0.5055,0.0344
Base LR (pixel),pixel,raw pixel (band x month),0.75,2114,0.6533,0.5926,0.6944,0.5073,0.0296
XGBoost L2 (field),field,xr_fresh time-series,0.25,663,0.6271,0.5267,0.682,0.4671,
XGBoost L2 (field),field,xr_fresh time-series,0.5,1326,0.6573,0.5501,0.6894,0.4769,
XGBoost L2 (field),field,xr_fresh time-series,0.75,1989,0.6608,0.5765,0.6965,0.4835,
LightGBM L2 (pixel),pixel,raw pixel (band x month),0.25,704,0.6126,0.5509,0.6981,0.4743,
LightGBM L2 (pixel),pixel,raw pixel (band x month),0.5,1409,0.631,0.5498,0.6899,0.4563,
LightGBM L2 (pixel),pixel,raw pixel (band x month),0.75,2114,0.6342,0.5518,0.6952,0.4673,
L-TAE-S (pixel),pixel,raw pixel (temporal sequence),0.25,663,0.6974,0.5808,0.7085,0.5171,
L-TAE-S (pixel),pixel,raw pixel (temporal sequence),0.5,1326,0.729,0.5578,0.6861,0.4929,
L-TAE-S (pixel),pixel,raw pixel (temporal sequence),0.75,1989,0.7482,0.6142,0.718,0.538,
Ensemble ML (majority vote),majority vote (ML models),majority vote,1.0,,,0.5683343641661922,0.6997929606625258,0.4695759970698874,0.0
Ensemble ML (majority vote),majority vote (ML models),majority vote,0.25,,,0.5797,0.7072,0.5046,0.0114
Ensemble ML (majority vote),majority vote (ML models),majority vote,0.5,,,0.5657,0.6961,0.4816,-0.0027
Ensemble ML (majority vote),majority vote (ML models),majority vote,0.75,,,0.5901,0.7081,0.5015,0.0218
