model,fraction,subsample_seed,oos_f1_macro,oos_kappa,n_seeds,mean_epoch_s,epochs_run
ltae_sparse_pixel,0.5,42,0.4938,0.3714,1,23.73,54
ltae_sparse_pixel,0.5,101,0.5916,0.5166,1,21.89,47
ltae_sparse_pixel,0.5,202,0.6019,0.4900,1,21.85,32
ltae_sparse_pixel,0.5,303,0.6262,0.5471,1,21.28,30
ltae_sparse_pixel,0.5,404,0.5099,0.3776,1,21.90,40
ltae_sparse_pixel,0.75,42,0.5919,0.4846,1,31.32,23
ltae_sparse_pixel,0.75,101,0.5449,0.4649,1,31.36,78
ltae_sparse_pixel,0.75,202,0.6142,0.5121,1,31.26,56
ltae_sparse_pixel,0.75,303,0.5604,0.4670,1,31.51,35
ltae_sparse_pixel,0.75,404,0.5781,0.4827,1,31.07,52
ltae_sparse_pixel,0.25,42,0.5708,0.4833,1,12.33,60
ltae_sparse_pixel,0.25,101,0.5216,0.4081,1,12.33,62
ltae_sparse_pixel,0.25,202,0.5861,0.4889,1,12.25,43
ltae_sparse_pixel,0.25,303,0.5675,0.5057,1,11.82,22
ltae_sparse_pixel,0.25,404,0.6050,0.5261,1,12.24,32
ltae_pixel,0.5,42,0.5750,0.5086,1,2.83,19
ltae_pixel,0.5,101,0.5738,0.4934,1,2.54,45
ltae_pixel,0.5,202,0.5412,0.4223,1,2.51,24
ltae_pixel,0.5,303,0.5524,0.4772,1,2.44,20
ltae_pixel,0.5,404,0.5621,0.4888,1,2.50,32
ltae_pixel,0.75,42,0.5662,0.4976,1,3.49,24
ltae_pixel,0.75,101,0.5492,0.4051,1,3.47,33
ltae_pixel,0.75,202,0.5452,0.4231,1,3.49,18
ltae_pixel,0.75,303,0.5618,0.4703,1,3.56,28
ltae_pixel,0.75,404,0.5828,0.4834,1,3.48,20
ltae_pixel,0.25,42,0.5802,0.5160,1,1.54,25
ltae_pixel,0.25,101,0.5437,0.4326,1,1.53,32
ltae_pixel,0.25,202,0.5400,0.4430,1,1.53,32
ltae_pixel,0.25,303,0.5341,0.4691,1,1.46,24
ltae_pixel,0.25,404,0.5632,0.5204,1,1.51,25
tabnet_pixel,0.5,42,0.5911,0.5272,1,18.86,21
tabnet_pixel,0.5,101,0.5780,0.5098,1,21.09,35
tabnet_pixel,0.5,202,0.5511,0.4536,1,18.18,33
tabnet_pixel,0.5,303,0.5712,0.4903,1,17.60,41
tabnet_pixel,0.5,404,0.5681,0.5133,1,17.65,39
tabnet_pixel,0.75,42,0.5737,0.5113,1,26.03,21
tabnet_pixel,0.75,101,0.5761,0.4998,1,28.08,28
tabnet_pixel,0.75,202,0.5971,0.5316,1,25.77,26
tabnet_pixel,0.75,303,0.5871,0.5215,1,27.04,21
tabnet_pixel,0.75,404,0.5861,0.5156,1,26.08,22
tabnet_pixel,0.25,42,0.5557,0.4900,1,17.15,40
tabnet_pixel,0.25,101,0.5277,0.4770,1,18.60,25
tabnet_pixel,0.25,202,0.5342,0.4750,1,19.80,24
tabnet_pixel,0.25,303,0.5493,0.4898,1,14.40,32
tabnet_pixel,0.25,404,0.5650,0.4956,1,18.04,30
xgboost_field,0.5,42,0.5374,0.4682,1,0,0
xgboost_field,0.5,101,0.5535,0.4831,1,0,0
xgboost_field,0.5,202,0.5390,0.4648,1,0,0
xgboost_field,0.5,303,0.5413,0.4594,1,0,0
xgboost_field,0.5,404,0.5392,0.4684,1,0,0
xgboost_field,0.75,42,0.5746,0.4841,1,0,0
xgboost_field,0.75,101,0.5741,0.4958,1,0,0
xgboost_field,0.75,202,0.5508,0.4595,1,0,0
xgboost_field,0.75,303,0.5740,0.4763,1,0,0
xgboost_field,0.75,404,0.5609,0.4793,1,0,0
xgboost_field,0.25,42,0.5329,0.4736,1,0,0
xgboost_field,0.25,101,0.5205,0.4675,1,0,0
xgboost_field,0.25,202,0.5411,0.4509,1,0,0
xgboost_field,0.25,303,0.5439,0.4642,1,0,0
xgboost_field,0.25,404,0.5432,0.4732,1,0,0
base_lr_pixel,0.5,42,0.5973,0.5055,1,0,0
base_lr_pixel,0.5,101,0.5577,0.4633,1,0,0
base_lr_pixel,0.5,202,0.5842,0.5088,1,0,0
base_lr_pixel,0.5,303,0.5783,0.4930,1,0,0
base_lr_pixel,0.5,404,0.5532,0.4418,1,0,0
base_lr_pixel,0.75,42,0.5926,0.5073,1,0,0
base_lr_pixel,0.75,101,0.5871,0.5182,1,0,0
base_lr_pixel,0.75,202,0.5927,0.4953,1,0,0
base_lr_pixel,0.75,303,0.5770,0.4881,1,0,0
base_lr_pixel,0.75,404,0.5889,0.4998,1,0,0
base_lr_pixel,0.25,42,0.5805,0.4829,1,0,0
base_lr_pixel,0.25,101,0.5296,0.4418,1,0,0
base_lr_pixel,0.25,202,0.5553,0.4810,1,0,0
base_lr_pixel,0.25,303,0.5735,0.4894,1,0,0
base_lr_pixel,0.25,404,0.5293,0.4086,1,0,0
ltae_sparse_pixel,1.0,42,0.5819,0.4856,1,45.17,34
ltae_pixel,1.0,42,0.5519,0.4671,1,5.19,37
tabnet_pixel,1.0,42,0.5789,0.5085,1,34.96,27
xgboost_field,1.0,42,0.5824,0.4940,1,0,0
base_lr_pixel,1.0,42,0.5837,0.5029,1,0,0
