Model,OOS_F1_macro,F1_mean,F1_lo,F1_hi,se
Ensemble (all),0.6217,0.6213,0.597,0.6451,0.0123
TabNet (pixel),0.603,0.6025,0.5792,0.6258,0.0118
L-TAE-S Field (field),0.6012,0.6006,0.577,0.624,0.012
L-TAE-S (pixel),0.5987,0.5982,0.5735,0.6223,0.0124
L-TAE Field (field),0.5939,0.5934,0.5702,0.6165,0.012
Ensemble (DL),0.5876,0.5872,0.5639,0.6108,0.0119
Ensemble (ML),0.5819,0.5813,0.5568,0.6051,0.0124
L-TAE (pixel),0.5794,0.5787,0.5534,0.6044,0.0131
Ensemble (ML field),0.5777,0.5773,0.5523,0.602,0.0127
Transformer (pixel),0.5772,0.5767,0.5503,0.6019,0.013
Ensemble (ML pixel),0.5755,0.5751,0.5508,0.5991,0.0124
XGBoost (field),0.5648,0.5643,0.5384,0.59,0.0131
TempCNN (pixel),0.5639,0.5634,0.5375,0.5884,0.013
Base LightGBM (pixel),0.5633,0.5628,0.5385,0.5874,0.0126
Base LR (pixel),0.563,0.5625,0.5365,0.5883,0.013
LightGBM (field),0.5588,0.5582,0.5321,0.5837,0.0131
Voting (pixel),0.5573,0.5565,0.5319,0.5809,0.0124
Base RF (pixel),0.5479,0.5475,0.5235,0.5712,0.012
Base XGBoost (pixel),0.544,0.5439,0.5192,0.5689,0.0128
TempCNN Field (field),0.5355,0.5348,0.5088,0.5602,0.013
Stacking (field),0.5328,0.5323,0.5081,0.5565,0.0124
CNN-BiLSTM Field (field),0.506,0.5055,0.4824,0.5282,0.0117
3D CNN (patch),0.5035,0.5029,0.479,0.5261,0.0121
SMOTE Stacked (field),0.4887,0.4884,0.4627,0.514,0.0133
CNN-BiLSTM (pixel),0.4583,0.4579,0.4352,0.4805,0.0116
Ensemble 3D CNN (patch),0.4575,0.4572,0.4343,0.4795,0.0116
Multi-Ch CNN (patch),0.4464,0.4462,0.4246,0.467,0.0108
TabNet Temporal Field (field),0.4333,0.433,0.4085,0.4573,0.0124
TabNet Field (field),0.3696,0.3692,0.3424,0.3954,0.0135
