Model,class,f1_point,f1_lo,f1_hi
Ensemble (all),Barley,0.5097,0.4404,0.575
Ensemble (all),Canola,0.8583,0.8095,0.9023
Ensemble (all),Lucerne/Medics,0.8713,0.8585,0.8839
Ensemble (all),Small grain grazing,0.3596,0.3134,0.4053
Ensemble (all),Wheat,0.5097,0.4599,0.5574
TabNet (pixel),Barley,0.5507,0.4923,0.6066
TabNet (pixel),Canola,0.8127,0.7592,0.8595
TabNet (pixel),Lucerne/Medics,0.878,0.8654,0.8901
TabNet (pixel),Small grain grazing,0.2958,0.2474,0.3427
TabNet (pixel),Wheat,0.4778,0.4273,0.5263
L-TAE Field (field),Barley,0.5263,0.4582,0.5906
L-TAE Field (field),Canola,0.7863,0.7273,0.839
L-TAE Field (field),Lucerne/Medics,0.8154,0.799,0.8309
L-TAE Field (field),Small grain grazing,0.3508,0.3103,0.3904
L-TAE Field (field),Wheat,0.4907,0.4447,0.5335
Ensemble (DL),Barley,0.5105,0.449,0.5699
Ensemble (DL),Canola,0.7918,0.7328,0.8449
Ensemble (DL),Lucerne/Medics,0.8365,0.8211,0.8511
Ensemble (DL),Small grain grazing,0.3826,0.3372,0.4269
Ensemble (DL),Wheat,0.4165,0.3728,0.4585
Ensemble (ML),Barley,0.4536,0.3799,0.522
Ensemble (ML),Canola,0.83,0.7764,0.8776
Ensemble (ML),Lucerne/Medics,0.8545,0.8406,0.8676
Ensemble (ML),Small grain grazing,0.3141,0.2683,0.3584
Ensemble (ML),Wheat,0.457,0.4038,0.5076
L-TAE (pixel),Barley,0.5014,0.4355,0.5619
L-TAE (pixel),Canola,0.6637,0.5888,0.7313
L-TAE (pixel),Lucerne/Medics,0.8413,0.8261,0.8558
L-TAE (pixel),Small grain grazing,0.4122,0.3726,0.4503
L-TAE (pixel),Wheat,0.4785,0.4288,0.5258
Ensemble (ML field),Barley,0.4642,0.392,0.5342
Ensemble (ML field),Canola,0.8033,0.7442,0.8551
Ensemble (ML field),Lucerne/Medics,0.8548,0.8407,0.868
Ensemble (ML field),Small grain grazing,0.332,0.2881,0.3753
Ensemble (ML field),Wheat,0.4344,0.3801,0.4877
Ensemble (ML pixel),Barley,0.4494,0.3793,0.5153
Ensemble (ML pixel),Canola,0.8,0.7429,0.8505
Ensemble (ML pixel),Lucerne/Medics,0.8546,0.841,0.8677
Ensemble (ML pixel),Small grain grazing,0.3038,0.2557,0.3499
Ensemble (ML pixel),Wheat,0.4696,0.4189,0.517
XGBoost (field),Barley,0.471,0.3971,0.5398
