Model,Training Level,Feature Type,Train F1 (macro),OOS F1 (macro),Delta (OOS - Train)
Ensemble (all),majority vote (all models),majority vote,,0.6217232683399952,
TabNet (pixel),pixel,raw pixel (band x month),0.7329005223484552,0.6030216570423871,-0.12987886530606807
L-TAE Field (field),field,raw temporal (field-averaged),0.6657451097608144,0.5938929204673029,-0.07185218929351145
Ensemble (DL),majority vote (all models),majority vote,,0.5875826622419862,
Ensemble (ML),majority vote (all models),majority vote,,0.5818645602292811,
L-TAE (pixel),pixel,raw pixel (temporal sequence),0.7755469456484294,0.5794242870418496,-0.19612265860657985
Ensemble (ML field),majority vote (all models),majority vote,,0.5777361222466817,
Ensemble (ML pixel),majority vote (all models),majority vote,,0.575472882942903,
XGBoost (field),field,xr_fresh time-series,0.6956891171013388,0.564787223127966,-0.13090189397337282
TempCNN (pixel),pixel,raw pixel (temporal sequence),0.7749194490387156,0.5638581702221455,-0.2110612788165701
Base LightGBM (pixel),pixel,raw pixel (band x month),0.6247739686270255,0.5632958573213636,-0.06147811130566194
Base LR (pixel),pixel,raw pixel (band x month),0.6094622545535615,0.5629564243693472,-0.04650583018421428
LightGBM (field),field,xr_fresh time-series,0.679438682772855,0.5587634754786438,-0.12067520729421122
Voting (pixel),pixel,xr_fresh time-series,0.6853908785036593,0.5572546441043805,-0.1281362343992788
Base RF (pixel),pixel,raw pixel (band x month),0.6453111997274846,0.5478903904305266,-0.09742080929695807
Base XGBoost (pixel),pixel,raw pixel (band x month),0.6369401670421632,0.5440440233914763,-0.09289614365068688
TempCNN Field (field),field,raw temporal (field-averaged),0.6749455410787389,0.5354850915265806,-0.1394604495521583
Stacking (field),field,xr_fresh time-series,0.6427586792320146,0.5328153385703854,-0.10994334066162914
CNN-BiLSTM Field (field),field,raw temporal (field-averaged),0.642909423284715,0.505962974554701,-0.13694644873001405
3D CNN (patch),patch,raw pixel (spatial-temporal patch),0.6997049137372509,0.5034756957178079,-0.19622921801944293
SMOTE Stacked (field),field,xr_fresh time-series,0.6944753038426906,0.4887371602524812,-0.20573814359020942
CNN-BiLSTM (pixel),pixel,raw pixel (band x month),0.7226820864153078,0.4582844101916811,-0.26439767622362675
Ensemble 3D CNN (patch),patch,raw pixel (spatial-temporal patch),,0.45745539269989594,
Multi-Ch CNN (patch),patch,raw pixel (spatial-temporal patch),0.6260304497449891,0.4464345959591866,-0.1795958537858025
TabNet Temporal Field (field),field,raw temporal (field-averaged),0.6240999631821975,0.4332835081148989,-0.1908164550672986
TabNet Field (field),field,xr_fresh time-series,0.5147737686654602,0.3696306351952517,-0.14514313347020852
Transformer (pixel),pixel,raw pixel (temporal sequence),0.7809921749814286,0.5771830547858026,-0.20380912019562603
L-TAE-S (pixel),pixel,raw pixel (temporal sequence),0.772221,0.5986635713906258,-0.1735574286093743
L-TAE-S Field (field),field,raw temporal (field-averaged),0.643062,0.6011585021953586,-0.04190349780464142
