Model,Training Level,Feature Type,Training Obs,Training Time (min),Accuracy,F1 (weighted),F1 (macro),Cohen Kappa,Cross Entropy,Fields
TabNet (pixel),pixel,raw pixel (band x month),4802658.0,445.1,0.725879917184265,0.695625442492578,0.6030216570423871,0.5362509111931504,4.418293787260629,2415
Ensemble (all),majority vote (all models),majority vote,,,0.7300207039337474,0.7064400216769614,0.6217232683399952,0.5362221684849153,4.351552190776329,2415
L-TAE (pixel),pixel,raw pixel (temporal sequence),4802658.0,37.8,0.6774327122153209,0.683184537682666,0.5794242870418496,0.4875269443444866,5.199170466126933,2415
TempCNN (pixel),pixel,raw pixel (temporal sequence),4802658.0,29.4,0.684472049689441,0.6801866896963511,0.5638581702221455,0.48698326993908125,5.0857097521036225,2415
Ensemble (ML pixel),majority vote (all models),majority vote,,,0.7060041407867494,0.6740506524831469,0.575472882942903,0.48565694864818654,4.738653450385266,2415
Ensemble (ML),majority vote (all models),majority vote,,,0.7064182194616977,0.6763195123491644,0.5818645602292811,0.484001106593392,4.731979290736836,2415
Ensemble (DL),majority vote (all models),majority vote,,,0.6695652173913044,0.6755808053392688,0.5875826622419862,0.4822398686343219,5.325979499447102,2415
Ensemble (ML field),majority vote (all models),majority vote,,,0.7018633540372671,0.6761352430229484,0.5777361222466817,0.47816238009334133,4.805395046869566,2415
Stacking (field),field,xr_fresh time-series,3317.0,1.8,0.6699792960662526,0.6651164994088613,0.5328153385703854,0.47766014061279216,5.319305339798671,2415
Voting (pixel),pixel,xr_fresh time-series,3317.0,1.8,0.6993788819875777,0.6621113043307185,0.5572546441043805,0.4761468111939636,4.845440004760145,2415
XGBoost (field),field,xr_fresh time-series,2653.0,106.8,0.6968944099378882,0.6760717822679575,0.564787223127966,0.4742627312357137,4.885484962650725,2415
Base XGBoost (pixel),pixel,raw pixel (band x month),5154802.0,0.5,0.6890269151138716,0.6632894560069917,0.5440440233914763,0.47396196338342633,5.012293995970895,2415
L-TAE Field (field),field,raw temporal (field-averaged),2653.0,1.0,0.6579710144927536,0.6682635930824838,0.5938929204673029,0.4706658291957333,5.51285596960314,2415
Base LR (pixel),pixel,raw pixel (band x month),5154802.0,8.0,0.6939958592132505,0.6665501968479929,0.5629564243693472,0.47061985190757327,4.932204080189735,2415
Base LightGBM (pixel),pixel,raw pixel (band x month),5154802.0,0.5,0.6993788819875777,0.664768058987158,0.5632958573213636,0.46935430222552854,4.845440004760145,2415
LightGBM (field),field,xr_fresh time-series,2653.0,203.9,0.6902691511387163,0.6629539458149571,0.5587634754786438,0.4526366567572293,4.992271517025604,2415
Base RF (pixel),pixel,raw pixel (band x month),5154802.0,73.4,0.6857142857142857,0.6493254780135831,0.5478903904305266,0.4506557120585205,5.065687273158334,2415
SMOTE Stacked (field),field,xr_fresh time-series,2653.0,1.7,0.6666666666666666,0.6312386762148599,0.4887371602524812,0.42666912033379323,5.372698616986112,2415
TempCNN Field (field),field,raw temporal (field-averaged),2653.0,1.1,0.6231884057971014,0.6439793477711361,0.5354850915265806,0.42604174474534307,6.073485380071255,2415
CNN-BiLSTM Field (field),field,raw temporal (field-averaged),2653.0,0.9,0.5122153209109731,0.5446752565714601,0.505962974554701,0.3256225594184491,7.862160165850482,2415
CNN-BiLSTM (pixel),pixel,raw pixel (band x month),5407549.0,51.8,0.5204968944099378,0.5577653664760528,0.4582844101916811,0.3154222342551055,7.728676972881881,2415
TabNet Temporal Field (field),field,raw temporal (field-averaged),2653.0,0.6,0.5440993788819876,0.5629267064898567,0.4332835081148989,0.31205802390047366,7.348249872921375,2415
Ensemble 3D CNN (patch),patch,raw pixel (spatial-temporal patch),,,0.5250310302027307,0.5464135711878597,0.45745539269989594,0.3031657344455695,7.655595338932628,2417
Multi-Ch CNN (patch),patch,raw pixel (spatial-temporal patch),21741.0,188.1,0.5270997103847745,0.5387703635173485,0.4464345959591866,0.298960734781191,7.622252154094071,2417
3D CNN (patch),patch,raw pixel (spatial-temporal patch),21741.0,108.5,0.5051717004551096,0.5413254909663819,0.5034756957178079,0.2897769751914845,7.975689913382773,2417
TabNet Field (field),field,xr_fresh time-series,2653.0,0.6,0.6198757763975156,0.5314990282173472,0.3696306351952517,0.2525586810061363,6.126878657258696,2415
