Model,Training Level,Feature Type,Training Obs,Training Time (min),Accuracy,F1 (weighted),F1 (macro),Cohen Kappa,Cross Entropy,Fields
TabNet (pixel),pixel,raw pixel (band x month),4802658.0,445.1,0.725879917184265,0.695625442492578,0.6030216570423871,0.5362509111931504,4.418293787260629,2415
L-TAE (pixel),pixel,raw pixel (temporal sequence),4802658.0,37.8,0.6774327122153209,0.683184537682666,0.5794242870418496,0.4875269443444866,5.199170466126933,2415
TempCNN (pixel),pixel,raw pixel (temporal sequence),4802658.0,29.4,0.684472049689441,0.6801866896963511,0.5638581702221455,0.48698326993908125,5.0857097521036225,2415
Voting (pixel),pixel,xr_fresh time-series,3317.0,1.8,0.6993788819875777,0.6621113043307185,0.5572546441043805,0.4761468111939636,4.845440004760145,2415
Base XGBoost (pixel),pixel,raw pixel (band x month),5154802.0,0.5,0.6890269151138716,0.6632894560069917,0.5440440233914763,0.47396196338342633,5.012293995970895,2415
Base LR (pixel),pixel,raw pixel (band x month),5154802.0,8.0,0.6939958592132505,0.6665501968479929,0.5629564243693472,0.47061985190757327,4.932204080189735,2415
Base LightGBM (pixel),pixel,raw pixel (band x month),5154802.0,0.5,0.6993788819875777,0.664768058987158,0.5632958573213636,0.46935430222552854,4.845440004760145,2415
Base RF (pixel),pixel,raw pixel (band x month),5154802.0,73.4,0.6857142857142857,0.6493254780135831,0.5478903904305266,0.4506557120585205,5.065687273158334,2415
CNN-BiLSTM (pixel),pixel,raw pixel (band x month),5407549.0,51.8,0.5204968944099378,0.5577653664760528,0.4582844101916811,0.3154222342551055,7.728676972881881,2415
Ensemble 3D CNN (patch),patch,raw pixel (spatial-temporal patch),,,0.5250310302027307,0.5464135711878597,0.45745539269989594,0.3031657344455695,7.655595338932628,2417
Multi-Ch CNN (patch),patch,raw pixel (spatial-temporal patch),21741.0,188.1,0.5270997103847745,0.5387703635173485,0.4464345959591866,0.298960734781191,7.622252154094071,2417
3D CNN (patch),patch,raw pixel (spatial-temporal patch),21741.0,108.5,0.5051717004551096,0.5413254909663819,0.5034756957178079,0.2897769751914845,7.975689913382773,2417
